ORF	Gene	Heat 0' (A)	"Call:1=P, 0=A"	Heat 0' (B)	"Call:1=P, 0=A"	Heat 15'	"Call:1=P, 0=A"	Heat 30'	"Call:1=P, 0=A"	Heat 45'	"Call:1=P, 0=A"	Heat 60'	"Call:1=P, 0=A"	Heat 120'	"Call:1=P, 0=A"	Acid 0' (A)	"Call:1=P, 0=A"	Acid 0' (B)	"Call:1=P, 0=A"	Acid 10'	"Call:1=P, 0=A"	Acid 20'	"Call:1=P, 0=A"	Acid 40'	"Call:1=P, 0=A"	Acid 60'	"Call:1=P, 0=A"	Acid 80'	"Call:1=P, 0=A"	Acid 100'	"Call:1=P, 0=A"	Alkali 0' (A)	"Call:1=P, 0=A"	Alkali 0' (B)	"Call:1=P, 0=A"	Alkali 10'	"Call:1=P, 0=A"	Alkali 20'	"Call:1=P, 0=A"	Alkali 40'	"Call:1=P, 0=A"	Alkali 60'	"Call:1=P, 0=A"	Alkali 80'	"Call:1=P, 0=A"	Alkali 100'	"Call:1=P, 0=A"	msn2/4 acid 0'	"Call:1=P, 0=A"	msn2/4 acid 10'	"Call:1=P, 0=A"	msn2/4 acid 20'	"Call:1=P, 0=A"	Peroxide 0' (A)	"Call:1=P, 0=A"	Peroxide 0' (B)	"Call:1=P, 0=A"	Peroxide 10'	"Call:1=P, 0=A"	Peroxide 20'	"Call:1=P, 0=A"	Peroxide 40'	"Call:1=P, 0=A"	Peroxide 60'	"Call:1=P, 0=A"	Peroxide 120'	"Call:1=P, 0=A"	NaCl 0'	"Call:1=P, 0=A"	NaCl 15'	"Call:1=P, 0=A"	NaCl 30'	"Call:1=P, 0=A"	NaCl 45'	"Call:1=P, 0=A"	NaCl 60'	"Call:1=P, 0=A"	NaCl 120'	"Call:1=P, 0=A"	Sorbitol 0'	"Call:1=P, 0=A"	Sorbitol 15'	"Call:1=P, 0=A"	Sorbitol 30'	"Call:1=P, 0=A"	Sorbitol 45'	"Call:1=P, 0=A"	Sorbitol 90'	"Call:1=P, 0=A"	Sorbitol 120'	"Call:1=P, 0=A"
YAL001C	TFC3	126	1	114.6	1	127.9	1	208.2	1	178.4	1	85.6	1	59.3	0	211.5	1	152.8	1	437.4	1	343.3	1	135.7	1	151.3	1	164.6	1	233.6	1	211.5	1	152.8	1	258.3	1	145.8	0	139.3	1	333.1	1	122.4	1	220.4	0	202.8	1	118.5	1	250.2	1	180.8	1	116.7	1	145.1	1	71.2	1	136	1	55.4	1	78.6	0	194	1	250.2	1	319.9	1	191.2	1	204.8	1	281.4	0	194	1	175.4	1	293.3	1	280.9	1	267.7	0	256	1
YAL002W	VPS8	54	1	42	1	70.2	1	112.9	1	151.7	1	106.8	1	117.8	1	85	1	101.9	1	141.1	1	128.7	1	53.8	1	154.1	1	85.3	1	93	1	85	1	101.9	1	93	0	70.2	1	20	0	97	1	78.9	1	58	0	138.1	1	72	1	77	1	25.8	0	50.8	0	20	0	20	0	53.2	1	28.5	0	26.2	0	353	1	240.3	1	561.5	1	714.8	1	414.1	1	110.1	0	353	1	202.2	0	603.3	1	381.3	1	442.3	1	244.6	1
YAL003W	EFB1	9651	1	7004	1	7530.4	1	7286.2	1	7129	1	7351.7	1	6468.4	1	11827	1	11696.9	1	11810.8	1	7883.8	1	7846.9	1	9723.5	1	8931.2	1	9055.2	1	11827	1	11696.9	1	6035.4	1	5641.2	1	6280.6	1	6700.1	1	6491.1	1	7709.8	1	12679.1	1	7317.9	1	8428.8	1	8462.4	1	10642.8	1	5229.2	1	3682.2	1	2481	1	1142	1	5539.8	1	15465	1	11569.5	1	9861.5	1	6583.2	1	8363.7	1	6866	1	15465	1	10136	1	6710.1	1	8835.1	1	14018.7	1	14375.8	1
YAL004W	YAL004W	30	1	33.6	1	101.3	1	158.6	1	54.7	1	35.9	1	120.3	1	37.1	1	34.9	1	81.1	1	76.9	1	71.7	1	48.5	0	49.6	1	43.4	0	37.1	1	34.9	1	49.6	1	56.7	1	66.4	1	74.4	1	23.7	0	69.6	1	56.1	0	20	0	20	0	121.7	1	40.6	1	20	0	32.6	1	20	0	33.2	1	20	0	222	1	160.9	1	653.5	1	296.6	1	329.1	0	212.9	0	222	1	143.1	0	160.5	0	293.1	0	250.2	0	136.8	0
YAL005C	SSA1	1816	1	1394.8	1	4185.5	1	6146.8	1	4823.2	1	4233.3	1	5565.6	1	2778	1	3488.7	1	6191.1	1	6356.7	1	5158.7	1	5102.9	1	2889.2	1	3063.9	1	2778	1	3488.7	1	10448.8	1	8291.7	1	7037.1	1	5093	1	2830.1	1	3231	1	3478.3	1	1235.9	1	1024.7	1	3205.7	1	3580.3	1	4629.1	1	4450.4	1	3932.9	1	2739.5	1	3434.4	1	29035	1	22053.7	1	20417.3	1	32081.5	1	41586.3	1	27077.4	1	29035	1	25524.7	1	34268.1	1	32182.6	1	22050.5	1	20653.5	1
YAL007C	ERP2	406	1	318.5	1	585.6	1	870.9	1	1098.9	1	593.8	1	686.7	1	549.5	1	598	1	560.9	1	631.8	1	553	1	827.6	1	442.2	1	549.9	1	549.5	1	598	1	776.9	1	510.1	1	558.4	1	459.2	1	584.2	1	777.1	1	543.8	1	274.1	1	298.3	1	250.8	1	473.8	1	309.9	1	209.1	1	223.3	1	106	1	207.2	1	647	1	320.4	1	622.9	1	286.8	1	486.9	1	416	1	647	1	248.4	1	271.2	1	266	1	483	1	682.1	1
YAL008W	YAL008W	82	1	94.7	1	457.7	1	436.9	1	470	1	304.7	1	472.9	1	237.7	1	211.8	1	596.2	1	654	1	384	1	402.4	1	329.2	1	388.7	1	237.7	1	211.8	1	1055.8	1	448.1	1	421.2	1	362.2	1	262.5	1	313.2	1	185.6	1	86	1	134.7	1	143.9	1	231.8	1	317.3	1	355.9	1	348.9	1	211.9	1	252.5	1	239	1	146.7	1	743.3	1	123.8	0	332.2	1	93	0	239	1	68.3	0	127.3	0	150.6	0	119.9	0	189.7	1
YAL009W	SPO7	112	1	77.2	1	215.9	1	138.2	1	221.3	1	221.9	1	192.6	1	174.4	1	139.4	1	172.9	1	87.3	1	194.6	1	251.1	1	113	1	134.4	1	174.4	1	139.4	1	128.1	1	67.5	0	66.4	1	132.6	1	20	0	72.9	1	168.3	1	146.4	1	153.9	1	77.5	0	104.9	1	83.6	1	87.5	1	105	1	64.8	1	135.8	1	1127	1	811	1	1399.1	1	1068.9	1	1204.3	1	753.6	1	1127	1	913.1	1	1053.5	1	1000.1	1	1035.8	1	999.3	1
YAL010C	MDM10	77	1	63.4	1	120.5	1	82.7	1	124.3	1	129.8	1	176.3	1	133	0	67	0	84.7	0	146.5	0	99.8	1	117	1	101.1	0	107.5	1	133	0	67	0	117.8	0	126.9	1	79.5	1	142.3	1	20	0	66.3	0	64.7	0	69.7	1	125.1	1	59	0	86.3	1	81.2	1	69.7	1	99.1	1	102.8	1	111.9	1	102	0	20	0	237	1	136.9	1	224.5	1	20	0	102	0	110.8	1	86.7	0	69.2	0	152.5	1	93.3	0
YAL011W	YAL011W	224	1	126	1	227	1	308.5	1	177.7	1	223.7	1	199.1	1	198.4	0	109.9	1	246.9	1	232.3	1	304.7	1	245.4	1	196.3	1	239.8	1	198.4	0	109.9	1	303.7	1	175.4	1	169.8	1	239.3	1	122.4	1	205.5	1	228.7	1	130.1	1	206.9	1	221.3	1	152.3	1	36.9	0	54.9	1	96.1	1	63.3	1	176.2	1	98	1	32.6	0	90.5	1	20	0	95.6	0	29.4	0	98	1	59.1	0	20	0	20	0	34.9	0	91.2	0
